Company,Professional_Fees_Billed,Direct_Consultant_Salaries,Contribution_Margin,Corporate_Overheads,Net_Income,ROI_Metric
MSR India,0.0,0.27,-0.27,4.1,0.93,-16.29
Avishkar Infra,0.0,0.02,-0.02,0.18000000000000002,-1.02,
Finkurve Fin.,90.04,2.94,87.10000000000001,59.46000000000001,16.07,11.22
HB Leasing &Fin.,0.48,0.18,0.3,0.21999999999999997,0.08,3.1
Shricon Indus.,0.57,0.1,0.47,0.51,0.87,-1.36
Sterling Guaran.,0.0,0.01,-0.01,0.060000000000000005,-0.07,-700.0
Sulabh Engineers,3.16,0.24,2.92,1.24,1.74,5.55
Frontier Capital,0.28,0.01,0.27,0.17,0.11,4.46
Navneet Educat.,1751.27,257.81,1493.46,1199.06,251.74,16.21
Satra Properties,0.0,0.06,-0.06,1.03,-1.16,-1.14
Ausom Enter.,968.35,0.25,968.1,963.03,9.16,8.5
Thakral Services,24.53,2.62,21.91,25.44,-3.51,-89.41
Ruchi Infrastr.,63.84,13.01,50.830000000000005,29.820000000000004,14.01,4.18
VJTF Eduservices,12.26,5.14,7.12,4.36,-0.29,6.17
Voltaire Leasing,0.88,0.2,0.6799999999999999,0.8799999999999999,-0.2,-0.97
Lancor Holdings,137.7,7.97,129.73,105.46999999999998,6.76,9.71
Indian Infotech,21.05,0.36,20.69,18.44,1.72,0.92
Banas Finance,66.64,1.09,65.55,38.83,4.39,21.02
Visaka Industrie,1526.59,134.24,1392.35,1304.55,0.86,3.23
Infomedia Press,0.0,0.0,0.0,0.0,-3.87,
Photon Capital,0.25,0.31,-0.06,0.22999999999999998,-1.98,3.02
Oswal Leasing,0.15,0.09,0.06,0.1,-0.04,-1.44
GRP,461.38,54.44,406.94,356.22,22.64,15.43
Indag Rubber,251.18,24.8,226.38,208.69,16.75,9.96
M M Rubber,41.64,6.23,35.41,35.379999999999995,-1.65,-3.16
PTL Enterprises,64.35,2.74,61.60999999999999,5.72999999999999,23.56,7.45
TVS Srichakra,2926.0,356.05,2569.95,2273.14,107.76,10.94
Sanathnagar Ent.,3.81,0.05,3.7600000000000002,0.8800000000000003,2.94,65.46
Bombay Oxygen,70.84,0.59,70.25,1.2099999999999937,57.6,17.66
Berger Paints,11198.92,713.03,10485.89,8624.57,1169.82,27.64
Caprihans India,704.19,64.93,639.26,595.27,-51.62,1.42
ITD Cem,7717.87,619.29,7098.58,6353.51,274.18,27.47
Empire Inds.,606.02,127.76,478.26,414.12,37.0,15.51
Garware Marine,0.66,0.41,0.25000000000000006,0.37000000000000005,-0.07,-0.74
Hardcast.& Waud,5.41,0.63,4.78,1.5200000000000005,2.58,7.0
Hil Ltd,3374.97,467.37,2907.6,2783.73,34.79,1.82
Intl. Conveyors,133.93,20.91,113.02000000000001,91.73000000000002,62.39,25.38
Jay Shree Tea,761.02,269.0,492.02,541.24,12.99,2.22
Modern Shares,3.39,1.37,2.02,1.42,0.4,4.33
Huhtamaki India,2498.03,256.33,2241.7000000000003,2057.21,400.18,12.46
R J Shah & Co,0.0,0.55,-0.55,0.16999999999999993,3.74,13.22
Shalimar Paints,534.91,77.11,457.79999999999995,511.96999999999997,-73.85,-12.28
Sinnar Bidi Udy.,4.8,0.89,3.9099999999999997,3.9799999999999995,0.12,4.76
Supreme Inds.,10134.26,443.68,9690.58,8143.25,1069.72,28.56
VST Industries,1420.47,129.96,1290.51,937.31,301.57,32.46
Madhusudan Sec.,0.0,0.03,-0.03,0.27,0.12,0.14
Yamini Invest,7.74,0.11,7.63,9.46,0.25,0.5
MILGREY FIN.&INV,0.12,0.02,0.09999999999999999,0.21999999999999997,0.02,0.25
Jindal Drilling,617.01,75.46,541.55,405.39,51.15,6.4
Sakthi Finance,206.74,36.65,170.09,27.00999999999999,15.71,10.26
JMD Ventures,6.25,0.26,5.99,3.66,2.09,8.34
V B Desai Fin.,3.12,0.47,2.6500000000000004,2.2100000000000004,0.47,5.51
Quadrant Tele.,269.46,49.07,220.39,188.10999999999999,-113.97,
First Custodian,2.82,0.2,2.6199999999999997,0.3599999999999999,1.64,16.25
Kamanwala Housin,2.8,0.06,2.7399999999999998,5.609999999999999,-2.31,-3.29
WSFX Global,70.04,19.35,50.690000000000005,45.300000000000004,4.12,12.4
Anjani Foods,51.59,6.29,45.300000000000004,41.18000000000001,1.23,11.14
Parshwanath Corp,0.59,0.42,0.16999999999999998,0.35,0.52,4.2
Rajvi Logitrade,30.91,0.63,30.28,29.26,0.77,64.56
ICDS,2.28,0.66,1.6199999999999997,0.7799999999999997,2.04,9.12
Can Fin Homes,3523.06,96.87,3426.19,226.19000000000005,750.7,9.25
Munoth Capital,0.11,0.21,-0.09999999999999999,0.51,-0.22,-4.15
IL&FS Inv.Manag.,51.92,12.93,38.99,37.63,12.05,6.8
Shriram Finance,36379.52,3471.52,32908.0,6871.939999999999,7398.89,11.23
Cholaman.Inv.&Fn,19139.62,2478.6,16661.02,2907.1499999999996,3420.06,10.42
Bombay Talkies,0.15,0.09,0.06,0.23,-0.18,-3.64
VLS Finance,407.02,7.55,399.46999999999997,18.489999999999952,324.33,14.09
India Cem. Cap.,6.84,2.82,4.02,2.2799999999999994,1.51,3.5
AD Manum Finance,11.03,0.57,10.459999999999999,0.7099999999999991,7.7,15.67
Mehta Integrat.,0.01,0.24,-0.22999999999999998,0.32000000000000006,1.54,9.13
Inter Globe Fin,224.78,1.53,223.25,214.92,8.44,13.9
Shristi Infra,115.38,6.0,109.38,140.84,-40.18,-4.06
Crest Ventures,183.61,20.99,162.62,53.620000000000005,62.08,8.41
Guj. Credit Corp,0.0,0.13,-0.13,0.07999999999999999,-0.11,0.06
Dharani Finance,0.74,0.07,0.6699999999999999,0.8999999999999999,-0.3,-3.28
Indbank Merchant,24.92,8.37,16.550000000000004,4.470000000000004,9.0,14.59
Shrydus Indust.,9.45,0.03,9.42,8.9,0.52,5.04
Bharat Bhushan,0.71,0.23,0.48,0.20999999999999996,0.22,1.29
Capital Trust,77.88,36.74,41.13999999999999,29.069999999999993,2.15,8.16
Ushakiran Fin.,0.46,0.11,0.35000000000000003,0.12000000000000002,0.08,1.25
Pan India Corpor,0.01,0.17,-0.16,0.69,-0.08,-0.62
Sahara Housing,10.62,3.01,7.609999999999999,1.6599999999999993,1.4,5.62
NDA Securities,6.57,1.86,4.71,3.5,0.63,11.61
GSB Finance,3.67,0.56,3.11,1.23,1.26,11.74
Morarka Finance,7.58,0.34,7.24,0.1200000000000001,6.32,4.04
Monarch Networth,259.64,42.6,217.04,57.47999999999999,123.15,51.53
Pro Fin Capital,21.79,0.6,21.189999999999998,8.959999999999997,-0.26,3.81
Times Guaranty,3.24,0.2,3.04,0.69,1.79,5.3
Sanchay Finvest,0.57,0.02,0.5499999999999999,0.7,-0.15,6.74
Som Datt Finance,15.03,0.91,14.12,0.40999999999999837,12.1,46.59
Savani Financial,0.12,0.28,-0.16000000000000003,1.77,-2.0,-87.53
Regency Trust,1.23,0.36,0.87,0.8,0.04,7.89
Avonmore Capital,123.59,32.94,90.65,73.65,20.08,6.28
Libord Finance,0.76,0.6,0.16000000000000003,0.15000000000000002,1.98,1.73
Arihant Capital,235.14,32.01,203.13,98.03,70.51,28.52
ISL Consulting,24.21,0.46,23.75,20.0,3.1,29.26
DCM Financial,0.0,0.62,-0.62,0.86,-0.94,-4.1
R R Fin. Cons.,19.75,4.06,15.690000000000001,14.180000000000001,0.43,2.54
IM+ Capitals,525.12,0.39,524.73,470.90000000000003,93.7,26.35
Dugar Housing,0.0,0.08,-0.08,0.12000000000000001,-0.2,
Sugal & Damani,4.88,1.01,3.87,1.77,2.31,15.78
Nettlinx,32.75,8.5,24.25,11.09,8.15,18.64
Premium Capital,0.68,0.01,0.67,0.92,-0.28,
GIC Housing Fin,1057.16,63.42,993.7400000000001,76.91000000000008,151.16,8.59
Mathew Easow Res,122.47,0.18,122.28999999999999,120.44999999999999,0.06,4.56
Ajcon Global,16.07,2.81,13.26,10.46,1.3,7.06
Charter. Capital,6.73,1.18,5.550000000000001,0.5400000000000009,5.43,4.33
Std. Capital Mkt,27.4,0.85,26.549999999999997,3.419999999999998,10.71,8.18
Yogi Ltd,0.0,0.21,-0.21,0.6000000000000001,-0.38,-1.03
Cubical Finan,2.73,0.17,2.56,1.27,1.16,9.12
Relic Tech.,1.53,0.48,1.05,1.85,-0.9,-15.26
Nimbus Projects,5.87,1.06,4.8100000000000005,8.17,0.01,
Invigorated Bus.,0.22,0.09,0.13,0.27,-0.2,
Baid Finserv,65.97,8.01,57.96,16.71,12.92,11.21
Vipul Ltd,206.49,10.13,196.36,111.68,233.5,67.98
K Z Leasing,0.61,0.91,-0.30000000000000004,1.7899999999999998,0.72,8.85
Avasara Finance,1.33,0.18,1.1500000000000001,0.9300000000000002,0.22,9.36
Pasupati Fincap,0.07,0.11,-0.039999999999999994,0.04000000000000001,-0.12,
Ushdev Intl.,15.03,1.08,13.95,18.23,-9.74,
Mehta Securities,0.0,0.17,-0.17,0.22,-0.15,-2.87
Ugro Capital,1047.96,182.85,865.11,241.82000000000005,119.34,12.16
Shalibhadra Fin.,32.78,3.84,28.94,6.27,11.97,15.83
Abirami Fin.,0.0,0.27,-0.27,0.44999999999999996,1.45,5.12
Mansi Fin.(Chen),7.67,0.72,6.95,1.37,2.07,8.82
Seven Hill Inds.,0.0,0.05,-0.05,0.15000000000000002,3.2,23.74
AastamangalamFin,7.03,0.08,6.95,0.5200000000000005,3.6,9.32
Muthoot Cap.Serv,398.4,79.97,318.42999999999995,84.51999999999995,122.66,10.15
Master Trust,500.46,86.21,414.25,210.4,108.08,32.87
EFC (I),419.46,14.03,405.43,222.83,63.3,18.8
Sobhagya Mercant,120.11,2.65,117.46,99.42999999999999,11.58,33.79
CNI Research,10.42,0.18,10.24,9.39,0.84,6.98
Saraswati Commer,128.34,2.33,126.01,0.8500000000000085,103.91,21.84
N D Metal Inds.,0.06,0.16,-0.1,0.4,0.13,4.42
TCC Concept,73.65,3.18,70.47,40.43,20.28,
Luharuka Media,1.63,0.29,1.3399999999999999,0.45999999999999985,0.61,5.84
Vishvprabha Ven.,5.95,0.14,5.8100000000000005,4.5600000000000005,-0.27,4.2
Mrugesh Trading,0.0,0.0,0.0,0.0,-0.25,0.0
Dec.Gold Mines,3.6,3.55,0.050000000000000266,16.37,-64.46,-10.73
Nidhi Granites,38.51,2.2,36.309999999999995,34.76,0.68,9.69
Signet Industrie,1213.04,28.63,1184.4099999999999,1100.3,15.45,14.62
Sunteck Realty,564.85,90.26,474.59000000000003,357.31000000000006,70.93,4.69
Silveroak Comm,4.42,0.51,3.91,10.32,-7.83,-77.32
Stephanotis Fin.,0.79,0.45,0.34,0.5,-0.13,-0.49
Jai Corp,463.06,39.91,423.15,375.52,52.48,4.5
Ashirwad Cap.,1.88,0.01,1.8699999999999999,0.1299999999999999,1.55,10.75
Swasti Vin. Art,12.38,2.58,9.8,6.120000000000001,2.05,12.49
Bhagyanagar Ind,1430.72,13.92,1416.8,1384.96,45.72,20.94
Aravali Sec,0.02,0.47,-0.44999999999999996,0.33000000000000007,-0.44,-3.53
Starteck Fin.,37.33,0.5,36.83,6.469999999999999,15.9,7.9
Shardul Sec.,172.91,1.33,171.57999999999998,8.859999999999985,97.81,28.96
Sera Investments,22.86,0.27,22.59,2.0500000000000007,17.87,36.56
Nirav Commercial,11.33,1.17,10.16,9.51,0.32,
Apollo Finvest,19.97,3.27,16.7,7.25,8.01,16.04
Enbee Trade,10.25,2.23,8.02,3.3599999999999994,1.6,8.05
Sh. Jagdamba Pol,361.94,34.26,327.68,272.02,32.27,21.12
Lloyds Metals,6521.65,117.76,6403.889999999999,4675.58,1243.15,79.17
Virya Resources,0.0,0.05,-0.05,0.09999999999999999,-0.29,-2.63
Polytex India,0.0,0.04,-0.04,0.12,-0.16,-5.73
Dhanlaxmi Cotex,26.41,1.06,25.35,24.130000000000003,2.89,5.68
Oasis Securities,2.99,1.65,1.3400000000000003,0.3300000000000003,1.42,15.25
Garnet Intl.,20.33,0.43,19.9,21.229999999999997,-5.98,-1.13
Zenith Exports,81.7,8.66,73.04,74.30000000000001,0.3,1.78
Kohinoor Foods,95.1,6.97,88.13,73.41,-4.55,4.92
Avanti Feeds,5368.89,199.55,5169.34,4711.25,393.81,21.16
Zodiac-JRD MKJ,10.89,0.56,10.33,14.370000000000001,-1.37,-2.97
Sita Enterprises,3.17,0.1,3.07,0.10999999999999988,2.82,22.86
Pulsar Intl.,19.78,0.11,19.67,17.17,1.8,35.36
Keynote Finan.,47.32,5.97,41.35,7.090000000000003,26.79,31.71
Chrome Silicon,89.81,5.15,84.66,104.46,0.42,-16.3
Nava,3818.12,225.07,3593.0499999999997,1874.0999999999997,1256.08,16.25
Hindusthan Udyog,0.0,1.22,-1.22,3.1500000000000004,181.9,34.34
Trans Freight,0.0,0.27,-0.27,0.18,1.07,2.98
Shivalik Bimetal,449.4,38.41,410.99,308.61,81.13,33.79
Amforge Inds.,0.0,0.29,-0.29,1.7,-0.27,2.32
Oricon Enterpris,146.56,25.17,121.39,153.27,30.01,-0.69
Acrow India,0.0,0.11,-0.11,1.7899999999999998,1.02,2.68
Steel Strips Inf,1.22,0.72,0.5,1.57,25.53,
Jyoti Structures,451.38,35.21,416.17,399.82,28.86,1.1
IMEC Services,6.41,0.92,5.49,5.470000000000001,299.86,
Synthiko Foils,25.82,1.64,24.18,23.41,0.22,11.72
Guj. Toolroom,555.37,0.25,555.12,483.65,70.84,
Ajmera Realty,699.96,41.14,658.82,457.64000000000004,103.92,11.72
Krishanveer Forg,84.26,5.17,79.09,71.59,3.99,16.36
Carborundum Uni.,4702.19,720.1,3982.0899999999997,3243.2599999999998,476.18,20.07
Smiths & Founder,11.66,2.83,8.83,7.8,0.63,4.25
Elango Industrie,2.58,0.09,2.49,2.62,-0.14,-3.45
Simplex Castings,122.13,10.53,111.6,98.35,2.39,10.48
South. Magnesium,9.47,0.94,8.530000000000001,4.270000000000001,3.33,48.56
Baroda Extrusion,127.2,1.14,126.06,127.62,-1.1,-6.2
Guj. Containers,141.48,9.91,131.57,115.64999999999999,9.02,22.74
Kalyani Forge,236.79,38.37,198.42,184.56,4.55,8.04
S R Industries,8.74,2.27,6.470000000000001,8.55,-1.45,-11.99
Steelcast,409.81,41.22,368.59000000000003,251.41000000000003,75.0,40.1
Pitti Engg.,1201.6,108.16,1093.4399999999998,915.7299999999998,90.2,19.95
Glittek Granites,6.93,2.07,4.859999999999999,8.959999999999999,-6.14,-15.19
Pradeep Metals,276.67,39.17,237.5,196.03,22.28,20.04
Guj.Nat.Resour.,27.4,3.85,23.549999999999997,18.009999999999998,-3.88,-1.14
Sterling Powerg.,6.88,0.21,6.67,7.1899999999999995,2.84,31.56
Foundry Fuel,0.0,0.01,-0.01,0.18,-0.25,
Hindustan Copper,1717.0,265.91,1451.09,904.5099999999999,295.41,17.97
Axel Polymers,127.92,3.74,124.18,118.39,1.56,12.93
NLC India,12999.03,2707.58,10291.45,6755.910000000001,1867.56,9.13
Shilp Gravures,77.7,27.21,50.49,40.120000000000005,11.21,15.53
MFS Intercorp,0.0,0.01,-0.01,0.01,-0.02,-1.73
Aro Granite Inds,155.09,15.88,139.21,108.35000000000001,1.31,5.03
Ceeta Industries,11.74,2.7,9.04,10.799999999999999,-1.6,-3.55
S & T Corporatio,0.05,0.14,-0.09000000000000001,0.21999999999999997,-0.15,-1.17
Binny,158.6,4.53,154.07,68.02999999999999,22.78,26.75
MKVentures Cap.,39.03,1.08,37.95,1.740000000000002,21.08,20.57
One Global Serv,63.01,1.3,61.71,51.980000000000004,7.11,84.94
Neo Infracon,3.83,0.68,3.15,3.4299999999999997,-0.13,2.44
Premier Polyfilm,261.74,24.77,236.97,202.5,20.6,30.59
Everlon Fin.,10.11,0.17,9.94,0.8899999999999988,8.0,61.73
K&R Rail Engine.,663.4,3.05,660.35,634.77,17.73,
Sarup Industries,11.57,3.18,8.39,7.210000000000001,-1.7,1.39
Hind.Adhesive,304.16,21.28,282.88,250.03,16.41,20.66
Sri KPR Inds.,13.75,0.64,13.11,6.579999999999999,7.88,8.95
Modern Insulator,443.29,72.49,370.8,335.59000000000003,36.49,9.12
Asahi India Glas,4356.72,359.48,3997.2400000000002,3259.1600000000003,325.05,14.92
Saint-Gob. Sekur,200.7,11.81,188.89,151.88,31.23,22.33
Anant Raj,1483.3,19.2,1464.1,1130.29,265.93,8.54
Madhusudan Inds.,1.22,0.6,0.62,0.49,2.32,11.28
Madhav Marbles,39.9,8.18,31.72,32.65,-1.45,-0.03
Hind.Natl.Glass,2552.35,236.59,2315.7599999999998,2025.4999999999998,163.37,19.9
Haldyn Glass,298.77,41.58,257.19,217.4,24.57,15.37
Duroply Indust.,323.42,32.21,291.21000000000004,279.27000000000004,1.01,5.92
Shreyans Inds.,699.17,74.12,625.05,527.4599999999999,87.42,31.27
Agio Paper,0.3,0.18,0.12,0.21,-1.08,-0.43
Star Paper Mills,444.47,30.17,414.3,357.22,64.0,13.4
Pakka,404.74,44.58,360.16,274.57000000000005,48.67,21.36
Soma Papers,0.0,0.02,-0.02,0.5599999999999999,-0.36,-82.76
Natl. Plywood,40.47,1.71,38.76,42.339999999999996,-1.9,
Arrow Greentech,148.51,13.74,134.76999999999998,88.42999999999998,29.33,35.17
Jumbo Bag,104.32,12.17,92.14999999999999,84.58999999999999,1.19,7.97
N R Agarwal Inds,1293.13,80.49,1212.64,1036.5300000000002,125.46,13.86
3P Land Hold.,3.56,0.74,2.8200000000000003,0.3100000000000005,1.81,2.94
Sangal Papers,190.34,8.49,181.85,175.13,2.47,9.07
Sh. Karthik Pap.,64.84,1.78,63.06,60.980000000000004,0.34,4.93
S I Paper Mills,312.31,30.51,281.8,264.56,-13.43,0.19
Family Care,40.01,3.92,36.089999999999996,29.349999999999994,12.55,15.18
Vindhya Telelink,4086.53,157.73,3928.8,3634.05,282.69,10.88
RIR Power Electr,66.76,8.32,58.440000000000005,48.550000000000004,7.03,13.27
Ador Welding,883.83,72.63,811.2,721.2800000000001,63.19,23.98
Salzer Electron.,1135.58,42.29,1093.29,983.0899999999999,43.19,12.91
Aplab,49.54,12.37,37.17,32.63,0.8,14.67
Spel Semiconduct,13.76,7.49,6.27,6.0,-8.26,8.75
Honeywell Auto,4058.2,660.0,3398.2,2808.7999999999997,501.4,19.69
Switching Tech.,8.68,5.84,2.84,12.08,-3.19,
Calcom Vision,160.2,19.8,140.39999999999998,131.80999999999997,1.28,
Dynavision,10.34,0.92,9.42,1.0899999999999999,6.46,33.9
B C C Fuba India,32.26,5.59,26.669999999999998,22.18,3.76,15.92
Prec. Electronic,47.34,8.23,39.11,35.64,1.46,9.87
Fine Line Cir.,24.28,4.86,19.42,18.37,0.11,3.67
S & S Power Swit,159.38,29.39,129.99,119.13000000000001,4.32,19.53
Guj Inds. Power,1348.64,140.96,1207.68,826.48,198.51,7.66
Magnus Retail,0.67,0.01,0.66,0.8200000000000001,-0.38,-457.14
CMI,24.02,2.28,21.74,38.04,-95.5,-8.19
Havells India,18590.01,1549.52,17040.489999999998,15159.369999999999,1270.76,24.4
SBEC Systems,3.18,0.19,2.99,0.5900000000000003,1.33,154.49
Incap,19.36,1.95,17.41,16.82,0.67,6.06
Gujarat Intrux,57.2,7.73,49.47,39.32,7.41,16.97
Igarashi Motors,725.04,64.22,660.8199999999999,586.7299999999999,9.57,4.65
Symphony,1156.0,122.0,1034.0,866.0,148.0,19.01
Pan Electronics,2.03,1.48,0.5499999999999998,2.51,-3.64,-26.78
Patels Airtemp,370.76,14.67,356.09,321.01,14.69,14.35
Butterfly Gan Ap,931.28,115.66,815.62,787.77,7.39,4.94
Integra Switch,0.0,0.01,-0.01,0.19,-0.22,-7.3
Narmada Macplast,1.81,0.14,1.67,1.8299999999999998,0.0,1.4
Dutron Polymers,119.24,7.65,111.58999999999999,106.55999999999999,2.45,13.21
Magna Electrocas,143.7,18.41,125.28999999999999,101.91999999999999,15.11,20.31
Marsons,6.46,0.36,6.1,4.93,0.63,3.09
Elnet Technolog,26.15,2.06,24.09,6.530000000000001,17.49,17.88
Websol Energy,25.86,2.19,23.669999999999998,31.209999999999997,-120.96,-16.7
Roto Pumps,274.5,67.36,207.14,141.58999999999997,39.42,24.43
TTK Prestige,2678.05,266.55,2411.5,2107.85,225.33,14.5
D & H India,157.82,14.14,143.68,134.18,2.7,10.45
Surana Telecom,25.28,4.25,21.03,9.750000000000002,8.06,7.19
Centum Electron,1090.82,367.12,723.6999999999999,637.8499999999999,-2.76,10.14
Alfa Transformer,50.97,2.6,48.37,44.78,7.63,11.5
PVP Ventures,8.47,7.67,0.8000000000000007,12.620000000000001,61.58,-2.22
KEI Industries,8104.08,267.15,7836.93,6999.400000000001,581.05,27.21
Keerthi Indus,212.12,25.35,186.77,190.75,-15.69,-10.92
Bheema Cements,0.0,0.0,0.0,2.11,-33.74,
Anjani Portland,623.9,37.11,586.79,557.9699999999999,-39.32,-2.43
Modi Naturals,399.82,26.13,373.69,364.62,-1.38,2.5
Shah Foods,0.0,0.03,-0.03,0.19,-0.22,
Khandelwal Extra,0.78,0.27,0.51,0.19,0.34,16.61
Tasty Bite Eat.,540.32,39.05,501.27000000000004,427.04,41.52,16.66
AVT Natural Prod,517.26,67.3,449.96,370.59999999999997,53.29,15.93
Hindustan Foods,2754.71,82.62,2672.09,2450.3700000000003,93.02,15.37
Vadilal Inds.,1125.33,111.52,1013.81,793.54,145.95,27.21
ADF Foods,520.33,33.54,486.79,381.84000000000003,73.79,21.69
Retro Green,2.0,0.22,1.78,1.34,0.47,5.27
Williamson Fin.,2.12,0.14,1.98,10.5,-4.72,-3.77
Ajanta Soya,1022.16,7.23,1014.93,1011.9899999999999,4.03,7.27
Williamson Magor,2.89,0.31,2.58,41.82,-50.42,-7.39
Kisaan Parivar,3.0,0.03,2.97,2.18,0.75,26.1
Superior Indus.,42.37,2.44,39.93,37.26,5.85,6.64
Saptarishi Agro,41.19,0.35,40.839999999999996,38.239999999999995,2.04,29.52
Sanwaria Consum.,1.07,0.23,0.8400000000000001,1.6,-5.8,-2.08
Prima Agro,12.48,4.08,8.4,7.300000000000001,0.72,21.4
Madhur Inds,0.0,0.02,-0.02,0.23,-0.32,-6.11
Tarai Foods,0.0,0.14,-0.14,0.43999999999999995,-0.31,-72.09
Modern Dairies,361.5,13.8,347.7,326.05,34.23,
Bambino Agro Ind,332.45,36.02,296.43,269.07,10.93,13.13
Prime Industries,15.5,0.21,15.29,1.42,10.84,53.48
VSF Projects,0.22,0.02,0.2,0.33,35.35,-0.3
Bansisons Tea,0.0,0.03,-0.03,0.11000000000000001,-0.16,-2.66
Poona Dal & Oil,98.4,0.53,97.87,96.64,0.78,1.9
Transglobe Foods,0.0,0.02,-0.02,0.12000000000000001,-0.29,-75.68
Anik Industries,100.6,2.61,97.99,91.11,0.3,2.79
Sharat Industrie,302.16,7.21,294.95000000000005,273.80000000000007,5.87,9.81
Datiware Mari.,0.67,0.15,0.52,1.08,-1.12,-9.2
KMG Milk Food,1.95,0.78,1.17,1.7799999999999998,0.11,4.05
KSE,1683.49,61.58,1621.91,1589.98,17.61,13.02
Narbada Gems,84.32,4.1,80.22,71.50999999999999,5.08,11.66
Virat Crane Inds,134.48,1.73,132.75,120.46000000000001,10.12,18.43
Ambar Protein,337.06,1.43,335.63,328.40999999999997,3.15,12.92
Chordia Food,3.23,0.31,2.92,0.99,0.8,7.37
CIAN Agro,170.71,6.51,164.20000000000002,144.88000000000002,5.05,11.06
N K Industries,2.4,0.38,2.02,0.8800000000000001,-1.17,
BKV Industries,0.8,0.39,0.41000000000000003,0.24000000000000002,0.18,4.34
NCC Blue Water,0.0,0.05,-0.05,0.13,0.44,7.34
Norben Tea,6.58,4.23,2.3499999999999996,2.4099999999999997,-1.7,-2.57
Heritage Foods,3793.9,257.55,3536.35,3333.35,106.55,16.84
Simran Farms,486.42,16.94,469.48,467.41,0.4,3.95
Hindustan Agrig.,0.07,0.08,-0.009999999999999995,0.31,0.47,4.96
CCL Products,2653.7,145.6,2508.1,2062.7999999999997,250.08,12.42
Suryo Foods,0.0,0.06,-0.06,0.13,1.13,
Integ. Proteins,0.24,0.06,0.18,0.3,0.09,3.73
Mahaan Foods,0.0,0.15,-0.15,0.17,0.66,4.65
TVS Holdings,40247.58,3538.73,36708.85,30878.57,1782.38,14.86
Sical Logistics,221.09,24.5,196.59,179.99,-28.29,-2.17
Vesuvius India,1688.57,108.92,1579.6499999999999,1252.85,238.37,26.09
ABC India,164.59,7.54,157.05,151.20000000000002,2.28,8.1
Balurghat Tech,79.33,3.86,75.47,71.53,2.46,14.16
Coastal Roadways,38.24,1.99,36.25,34.18,2.26,6.08
Shreyas Shipping,282.39,118.06,164.32999999999998,140.46999999999997,-51.01,-0.8
Starlog Enterp.,12.45,2.38,10.07,16.85,-2.69,1.42
Eurotex Industri,0.63,2.18,-1.5500000000000003,2.1799999999999997,-6.53,-24.52
Prime Urban,10.63,6.71,3.920000000000001,5.340000000000001,-2.04,-19.35
Super Spinning,6.95,0.62,6.33,3.34,-20.89,1.63
SIL Investments,50.96,1.79,49.17,8.950000000000003,30.01,2.07
Cityman,0.0,0.18,-0.18,0.16999999999999998,-0.35,-4.69
Tatia Global,1.07,0.22,0.8500000000000001,0.3700000000000001,0.62,2.3
Cranex,62.11,4.48,57.629999999999995,54.709999999999994,1.52,10.1
Batliboi,286.39,53.4,232.98999999999998,216.24999999999997,9.16,8.48
Austin Engg Co,111.38,19.06,92.32,88.47999999999999,3.68,8.95
United Drilling,136.65,11.49,125.16000000000001,105.97000000000001,9.17,6.16
Fluidomat,55.49,11.63,43.86,28.990000000000002,13.05,31.9
EMA India,0.0,0.24,-0.24,0.2,-0.52,-344.83
Windsor Machines,353.97,53.71,300.26000000000005,277.97,-7.72,3.0
Shanthi Gears,536.05,76.83,459.21999999999997,357.42999999999995,82.25,33.86
Miven Mach. Tool,1.44,0.11,1.3299999999999998,2.8899999999999997,-0.28,
Honda India,989.07,128.28,860.7900000000001,761.8000000000001,92.21,15.51
Elgi Equipments,3217.76,654.91,2562.8500000000004,2076.8600000000006,311.89,22.37
United Van Der,22.88,1.06,21.82,14.68,1.84,8.11
Kilburn Engg.,329.48,27.45,302.03000000000003,225.64000000000004,50.54,
Birla Precision,225.77,49.57,176.20000000000002,150.23000000000002,10.66,11.87
Yuken India,422.54,54.56,367.98,323.20000000000005,18.79,10.42
Timken India,2909.54,163.95,2745.59,2173.19,392.14,23.41
Artson Engg.,128.12,13.8,114.32000000000001,100.34,6.05,23.21
Solitaire Mach.,20.86,3.96,16.9,14.209999999999999,1.8,13.18
Diamond Power,343.37,7.94,335.43,292.7,17.03,
Indsil Hydro,116.61,11.86,104.75,107.27,-9.96,1.09
TMT (I),0.0,0.15,-0.15,0.23,-0.34,-68.0
ITL Industries,157.79,16.13,141.66,130.44,9.35,16.93
Praj Industries,3466.28,318.74,3147.54,2759.73,283.39,30.21
Yogi Infra Proj.,146.44,0.38,146.06,144.25,1.05,1.97
HLE Glascoat,967.92,177.45,790.47,678.4100000000001,40.89,12.8
Guj Apollo Inds,57.07,6.61,50.46,53.47,11.06,3.1
Taneja Aerospace,30.35,3.55,26.8,7.609999999999999,11.13,13.28
Conart Engineers,48.89,2.75,46.14,42.62,3.08,12.91
Minal Industries,37.05,2.14,34.91,35.089999999999996,0.38,1.95
Shivagrico Impl.,43.6,4.59,39.010000000000005,36.400000000000006,0.07,4.96
M M Forgings,1527.08,136.14,1390.94,1102.5500000000002,145.46,15.14
Iykot Hitech,1.33,0.64,0.6900000000000001,2.5100000000000002,-1.99,-61.17
Mayur Uniquoters,764.24,42.61,721.63,565.81,119.55,18.9
Cenlub Industrie,71.52,11.46,60.059999999999995,47.86,8.97,22.5
